,type,Name,year,director,address,lat,lon,borough,complaints.count.freq,Style_Sec,Mat_Prim,Use_Orig,nbhd,imdb,TEL,URL,system
709,film,You've Got Mail,1998,Nora Ephron,91st Street Community Garden<br>Riverside Park<br>Manhattan,40.79282387,-73.97741675,Manhattan,NA,,,,Upper West Side,http://www.imdb.com/title/tt0128853/,,,NA
710,Museum,Alexander Hamilton U.S. Custom House,,,1 Bowling Grn,40.70381622,-74.0137558,,NA,,,,,,(212) 514-3700,http://www.oldnycustomhouse.gov/,NA
711,Museum,Alice Austen House Museum,,,2 Hylan Blvd,40.61512084,-74.06303179,,NA,,,,,,(718) 816-4506,http://www.aliceausten.org/,NA
712,Museum,American Academy of Arts and Letters,,,633 W. 155th St.,40.8338535,-73.94729769,,NA,,,,,,(212) 368-5900,http://www.artsandletters.org/,NA
713,Museum,American Folk Art Museum,,,45 West 53rd Street,40.76162497,-73.97810302,,NA,,,,,,(212) 265-1040,http://www.folkartmuseum.org/,NA
714,Museum,American Immigration History Center,,,Ellis Island,40.69905626,-74.03968484,,NA,,,,,,(212) 363-3200,http://www.ellisisland.org/,NA
715,Museum,American Museum of Natural History,,,Central Park West at 79th Street,40.78082623,-73.97364816,,NA,,,,,,(212) 769-5100,http://www.amnh.org/,NA
716,Museum,American Numismatic Society,,,75 Varick St,40.72352659,-74.00701188,,NA,,,,,,(212) 571-4470,http://www.numismatics.org/,NA
717,Museum,Americas Society,,,680 Park Ave.,40.76882423,-73.96597045,,NA,,,,,,(212) 249-8950,http://as.americas-society.org/,NA
718,Museum,Anne Frank Center USA,,,38 Crosby Street,40.72112745,-73.99963037,,NA,,,,,,(212) 431-7993,http://www.annefrank.com/,NA
719,Museum,Asia Society,,,725 Park Avenue,40.76983378,-73.96428396,,NA,,,,,,(212) 288-6400,http://www.asiasociety.org/,NA
720,Museum,Audubon Terrace,,,Broadway at 155 Street,40.83358228,-73.9465459,,NA,,,,,,,http://www.washington-heights.us/history/archives/audubon_terrace_museum_group_102.html,NA
721,Museum,Bartow-Pell Mansion,,,895 Shore Road,40.87177832,-73.8055795,,NA,,,,,,(718) 885-1461,http://bartowpellmansionmuseum.org/index.php,NA
722,Museum,Bowne House,,,37-01 Bowne Street,40.76288633,-73.82489046,,NA,,,,,,(718) 359-0528,http://www.bownehouse.org/,NA
723,Museum,Bronx Historical Society & Musem,,,3309 Bainbridge Ave,40.87823644,-73.87974874,,NA,,,,,,(718) 881-8900,http://www.bronxhistoricalsociety.org/,NA
724,Museum,Bronx Museum of the Arts (BXMA),,,1040 Grand Concourse,40.83102978,-73.91975018,,NA,,,,,,(718) 681-6000,http://www.bronxmuseum.org/,NA
725,Museum,Brooklyn Children's Museum,,,145 Brooklyn Avenue,40.674507,-73.94401601,,NA,,,,,,(718) 735-4400,http://www.brooklynkids.org/,NA
726,Museum,Brooklyn Historical Society,,,128 Pierrepont Street,40.69480297,-73.9924054,,NA,,,,,,(718) 222-4111,http://www.brooklynhistory.org/default/index.html,NA
727,Museum,Brooklyn Museum,,,200 Eastern Parkway,40.67108321,-73.96358507,,NA,,,,,,(718) 638-5000,http://www.brooklynmuseum.org/,NA
728,Museum,Chelsea Art Museum,,,556 West 22nd Street,40.7478976,-74.00731553,,NA,,,,,,(212) 255-0719,http://www.chelseaartmuseum.org/,NA
729,Museum,Children's Museum of Manhattan,,,212 West 83rd Street,40.78587092,-73.97727392,,NA,,,,,,(212) 721-1234,http://www.cmom.org/,NA
730,Museum,Children's Museum of the Arts,,,182 Lafayette Street,40.72074947,-73.99883836,,NA,,,,,,(212) 274-0986,http://cmany.org/intro.php?pn=home,NA
731,Museum,Cloisters,,,99 Margaret Corbin Drive,40.86492364,-73.93173409,,NA,,,,,,(212) 923-3700,http://www.metmuseum.org/cloisters/,NA
732,Museum,Coney Island Museum,,,1208 Surf Ave,40.57526324,-73.97985598,,NA,,,,,,(718) 372-5159,http://www.coneyisland.com/,NA
733,Museum,"Cooper-Hewitt, National Design Museum",,,2 East 91st Street,40.78432574,-73.95778162,,NA,,,,,,(212) 849-8400,http://www.cooperhewitt.org/,NA
734,Museum,Dahesh Museum,,,580 Madison Avenue,40.76210697,-73.9730419,,NA,,,,,,(212) 759-0606,http://www.daheshmuseum.org,NA
735,Museum,Dia at the Hispanic Society,,,613 West 155th Street,40.83330211,-73.94649318,,NA,,,,,,(845) 440-0100,http://www.diabeacon.org/,NA
736,Museum,Dia Art Foundation,,,535 W 22nd Street,40.74789493,-74.00613538,,NA,,,,,,(212) 989 5566,http://www.diacenter.org/,NA
737,Museum,Discovery Times Square Exposition,,,226 W 44th St,40.75750109,-73.98731864,,NA,,,,,,(866) 987-9692,http://www.discoverytsx.com/nyc/,NA
738,Museum,Drawing Center,,,35 Wooster St.,40.72245119,-74.00290417,,NA,,,,,,(212) 219-2166,http://www.drawingcenter.org/about_visit.cfm,NA
739,Museum,Dyckman Farmhouse,,,4881 Broadway,40.86713092,-73.92383915,,NA,,,,,,(212) 304-9422,http://www.dyckmanfarmhouse.org/,NA
740,Museum,East Village History Project,,,308 Bowery,40.7249597,-73.99272306,,NA,,,,,,(212) 614-8702,http://leshp.org/,NA
741,Museum,El Museo del Barrio,,,1230 Fifth Ave,40.79309892,-73.9513676,,NA,,,,,,(212) 831-7272,http://www.elmuseo.org/,NA
742,Museum,Ellis Island Museum,,,Ellis Island,40.69820755,-74.04132162,,NA,,,,,,(212) 363-3200,http://www.ellisisland.org/,NA
743,Museum,Fraunces Tavern Museum,,,54 Pearl Street,40.70339928,-74.01133926,,NA,,,,,,(212) 425-1778,http://www.frauncestavernmuseum.org/,NA
744,Museum,Frick Collection,,,1 E. 70th Street,40.77105465,-73.96708041,,NA,,,,,,(212) 288-0700,http://www.frick.org/,NA
745,Museum,Garibaldi-Meucci Museum,,,420 Tompkins Avenue,40.61516522,-74.07387774,,NA,,,,,,(718) 442-1608,http://statenislandusa.com/pages/garibaldi.html,NA
746,Museum,Goethe-Institut New York,,,1014 Fifth Avenue,40.77916564,-73.96174204,,NA,,,,,,(212) 439-8700,http://www.goethe.de/ins/us/ney/deindex.htm,NA
747,Museum,Gracie Mansion,,,89th Street at East End Avenue,40.77611345,-73.94306846,,NA,,,,,,(212)-570-4751,http://www.nyc.gov/html/om/html/gracie.html,NA
748,Museum,Hall Of Fame For Great Americans,,,Hall of Fame Terrace & Sedgwick Avenue,40.85874717,-73.91397963,,NA,,,,,,(718) 289-5161,http://www.bcc.cuny.edu/hallofFame/,NA
749,Museum,Harbor Defense Museum of Fort Hamilton,,,230 Sheridan Loop,40.60900867,-74.03231078,,NA,,,,,,(718) 630-4349,http://www.harbordefensemuseum.com/,NA
750,Museum,Hispanic Society of America Museum,,,613 West 155th Street,40.83345215,-73.94682282,,NA,,,,,,(212) 926-2234,http://www.hispanicsociety.org/,NA
